keyword,date,hits
bankrupt,2005-10-07,24.509803921568626
bankrupt,2005-10-08,0
bankrupt,2005-10-09,37.878787878787875
bankrupt,2005-10-10,32.89473684210526
bankrupt,2005-10-11,36.764705882352935
bankrupt,2005-10-12,37.878787878787875
bankrupt,2005-10-13,37.878787878787875
bankrupt,2005-10-14,34.72222222222222
bankrupt,2005-10-15,34.72222222222222
bankrupt,2005-10-16,0
bankrupt,2005-10-17,33.78378378378378
bankrupt,2005-10-18,31.25
bankrupt,2005-10-19,21.551724137931032
bankrupt,2005-10-20,22.727272727272727
bankrupt,2005-10-21,22.32142857142857
bankrupt,2005-10-22,0
bankrupt,2005-10-23,0
bankrupt,2005-10-24,20.161290322580644
bankrupt,2005-10-25,0
bankrupt,2005-10-26,36.764705882352935
bankrupt,2005-10-27,36.764705882352935
bankrupt,2005-10-28,41.66666666666667
bankrupt,2005-10-29,0
bankrupt,2005-10-30,43.103448275862064
bankrupt,2005-10-31,36.764705882352935
bankrupt,2005-11-01,46.29629629629629
bankrupt,2005-11-02,50
bankrupt,2005-11-03,43.103448275862064
bankrupt,2005-11-04,44.64285714285714
bankrupt,2005-11-05,0
bankrupt,2005-11-06,0
bankrupt,2005-11-07,40.32258064516129
bankrupt,2005-11-08,44.64285714285714
bankrupt,2005-11-09,0
bankrupt,2005-11-10,36.764705882352935
bankrupt,2005-11-11,43.103448275862064
bankrupt,2005-11-12,0
bankrupt,2005-11-13,0
bankrupt,2005-11-14,33.78378378378378
bankrupt,2005-11-15,23.148148148148145
bankrupt,2005-11-16,27.77777777777778
bankrupt,2005-11-17,35.714285714285715
bankrupt,2005-11-18,40.32258064516129
bankrupt,2005-11-19,0
bankrupt,2005-11-20,39.0625
bankrupt,2005-11-21,30.48780487804878
bankrupt,2005-11-22,31.25
bankrupt,2005-11-23,27.173913043478255
bankrupt,2005-11-24,0
bankrupt,2005-11-25,0
bankrupt,2005-11-26,0
bankrupt,2005-11-27,31.25
bankrupt,2005-11-28,24.03846153846154
bankrupt,2005-11-29,29.069767441860467
bankrupt,2005-11-30,32.89473684210526
bankrupt,2005-12-01,27.173913043478255
bankrupt,2005-12-02,26.595744680851062
bankrupt,2005-12-03,0
bankrupt,2005-12-04,0
bankrupt,2005-12-05,18.115942028985508
bankrupt,2005-12-06,25
bankrupt,2005-12-07,18.656716417910445
bankrupt,2005-12-08,0
bankrupt,2005-12-09,17.857142857142858
bankrupt,2005-12-10,43.103448275862064
bankrupt,2005-12-11,39.0625
bankrupt,2005-12-12,37.878787878787875
bankrupt,2005-12-13,32.89473684210526
bankrupt,2005-12-14,0
bankrupt,2005-12-15,17.857142857142858
bankrupt,2005-12-16,26.041666666666664
bankrupt,2005-12-17,0
bankrupt,2005-12-18,0
bankrupt,2005-12-19,0
bankrupt,2005-12-20,39.0625
bankrupt,2005-12-21,43.103448275862064
bankrupt,2005-12-22,41.66666666666667
bankrupt,2005-12-23,40.32258064516129
bankrupt,2005-12-24,0
bankrupt,2005-12-25,0
bankrupt,2005-12-26,0
bankrupt,2005-12-27,36.764705882352935
bankrupt,2005-12-28,29.069767441860467
bankrupt,2005-12-29,0
bankrupt,2005-12-30,0
bankrupt,2005-12-31,25
bankrupt,2006-01-01,0
bankrupt,2006-01-02,0
bankrupt,2006-01-03,28.40909090909091
bankrupt,2006-01-04,41.66666666666667
bankrupt,2006-01-05,43.103448275862064
bankrupt,2006-01-06,44.64285714285714
bankrupt,2006-01-07,41.66666666666667
bankrupt,2006-01-08,41.66666666666667
bankrupt,2006-01-09,41.66666666666667
bankrupt,2006-01-10,43.103448275862064
bankrupt,2006-01-11,40.32258064516129
bankrupt,2006-01-12,39.0625
bankrupt,2006-01-13,28.40909090909091
bankrupt,2006-01-14,0
bankrupt,2006-01-15,32.89473684210526
bankrupt,2006-01-16,35.714285714285715
bankrupt,2006-01-17,32.05128205128205
bankrupt,2006-01-18,32.05128205128205
bankrupt,2006-01-19,34.72222222222222
bankrupt,2006-01-20,32.89473684210526
bankrupt,2006-01-21,0
bankrupt,2006-01-22,39.0625
bankrupt,2006-01-23,32.05128205128205
bankrupt,2006-01-24,43.103448275862064
bankrupt,2006-01-25,37.878787878787875
bankrupt,2006-01-26,43.103448275862064
bankrupt,2006-01-27,40.32258064516129
bankrupt,2006-01-28,0
bankrupt,2006-01-29,0
bankrupt,2006-01-30,35.714285714285715
bankrupt,2006-01-31,40.32258064516129
bankrupt,2006-02-01,44.64285714285714
bankrupt,2006-02-02,35.714285714285715
bankrupt,2006-02-03,31.25
bankrupt,2006-02-04,0
bankrupt,2006-02-05,0
bankrupt,2006-02-06,0
bankrupt,2006-02-07,48.07692307692308
bankrupt,2006-02-08,43.103448275862064
bankrupt,2006-02-09,32.05128205128205
bankrupt,2006-02-10,18.115942028985508
bankrupt,2006-02-11,16.89189189189189
bankrupt,2006-02-12,16.89189189189189
bankrupt,2006-02-13,30.48780487804878
bankrupt,2006-02-14,37.878787878787875
bankrupt,2006-02-15,0
bankrupt,2006-02-16,21.551724137931032
bankrupt,2006-02-17,18.656716417910445
bankrupt,2006-02-18,18.656716417910445
bankrupt,2006-02-19,23.148148148148145
bankrupt,2006-02-20,30.48780487804878
bankrupt,2006-02-21,41.66666666666667
bankrupt,2006-02-22,37.878787878787875
bankrupt,2006-02-23,36.764705882352935
bankrupt,2006-02-24,34.72222222222222
bankrupt,2006-02-25,0
bankrupt,2006-02-26,0
bankrupt,2006-02-27,0
bankrupt,2006-02-28,32.89473684210526
bankrupt,2006-03-01,28.40909090909091
bankrupt,2006-03-02,22.32142857142857
bankrupt,2006-03-03,29.761904761904763
bankrupt,2006-03-04,0
bankrupt,2006-03-05,0
bankrupt,2006-03-06,32.89473684210526
bankrupt,2006-03-07,32.89473684210526
bankrupt,2006-03-08,29.069767441860467
bankrupt,2006-03-09,22.32142857142857
bankrupt,2006-03-10,22.32142857142857
bankrupt,2006-03-11,20.161290322580644
bankrupt,2006-03-12,19.84126984126984
bankrupt,2006-03-13,0
bankrupt,2006-03-14,29.069767441860467
bankrupt,2006-03-15,28.40909090909091
bankrupt,2006-03-16,25
bankrupt,2006-03-17,27.77777777777778
bankrupt,2006-03-18,0
bankrupt,2006-03-19,0
bankrupt,2006-03-20,20.161290322580644
bankrupt,2006-03-21,23.148148148148145
bankrupt,2006-03-22,32.05128205128205
bankrupt,2006-03-23,32.05128205128205
bankrupt,2006-03-24,29.069767441860467
bankrupt,2006-03-25,31.25
bankrupt,2006-03-26,0
bankrupt,2006-03-27,29.761904761904763
bankrupt,2006-03-28,27.77777777777778
bankrupt,2006-03-29,0
bankrupt,2006-03-30,24.509803921568626
bankrupt,2006-03-31,0
bankrupt,2006-04-01,23.148148148148145
bankrupt,2006-04-02,0
bankrupt,2006-04-03,20.833333333333336
bankrupt,2006-04-04,27.77777777777778
bankrupt,2006-04-05,25
bankrupt,2006-04-06,23.58490566037736
bankrupt,2006-04-07,18.382352941176467
bankrupt,2006-04-08,19.230769230769234
bankrupt,2006-04-09,0
bankrupt,2006-04-10,29.069767441860467
bankrupt,2006-04-11,32.05128205128205
